time_sec,h3_index,idle_taxis
2400.0,8830e1ca63fffff,2
2400.0,internal_or_unknown,7
2700.0,8830e1ca05fffff,9
2700.0,8830e1ca07fffff,1
2700.0,8830e1ca21fffff,5
2700.0,8830e1ca23fffff,1
2700.0,8830e1ca29fffff,16
2700.0,8830e1ca2bfffff,6
2700.0,8830e1ca2dfffff,2
2700.0,8830e1ca63fffff,0
2700.0,internal_or_unknown,5
3000.0,8830e1ca05fffff,10
3000.0,8830e1ca07fffff,3
3000.0,8830e1ca21fffff,2
3000.0,8830e1ca23fffff,0
3000.0,8830e1ca29fffff,10
3000.0,8830e1ca2bfffff,6
3000.0,8830e1ca2dfffff,3
3000.0,8830e1ca63fffff,2
3000.0,internal_or_unknown,8
3300.0,8830e1ca05fffff,11
3300.0,8830e1ca07fffff,2
3300.0,8830e1ca21fffff,2
3300.0,8830e1ca23fffff,1
3300.0,8830e1ca29fffff,10
3300.0,8830e1ca2bfffff,5
3300.0,8830e1ca2dfffff,3
3300.0,8830e1ca63fffff,3
3300.0,internal_or_unknown,6
3600.0,8830e1ca05fffff,14
3600.0,8830e1ca07fffff,3
3600.0,8830e1ca21fffff,5
3600.0,8830e1ca23fffff,0
3600.0,8830e1ca29fffff,11
3600.0,8830e1ca2bfffff,9
3600.0,8830e1ca2dfffff,4
3600.0,8830e1ca63fffff,1
3600.0,internal_or_unknown,2
3900.0,8830e1ca05fffff,7
3900.0,8830e1ca07fffff,3
3900.0,8830e1ca21fffff,1
3900.0,8830e1ca23fffff,0
3900.0,8830e1ca29fffff,7
3900.0,8830e1ca2bfffff,12
3900.0,8830e1ca2dfffff,5
3900.0,8830e1ca63fffff,4
3900.0,internal_or_unknown,9
4200.0,8830e1ca05fffff,10
4200.0,8830e1ca07fffff,2
4200.0,8830e1ca21fffff,6
4200.0,8830e1ca23fffff,0
4200.0,8830e1ca29fffff,11
4200.0,8830e1ca2bfffff,7
4200.0,8830e1ca2dfffff,1
4200.0,8830e1ca63fffff,3
4200.0,internal_or_unknown,7
4500.0,8830e1ca05fffff,8
4500.0,8830e1ca07fffff,0
4500.0,8830e1ca21fffff,3
4500.0,8830e1ca23fffff,0
4500.0,8830e1ca29fffff,16
4500.0,8830e1ca2bfffff,5
4500.0,8830e1ca2dfffff,5
4500.0,8830e1ca63fffff,3
4500.0,internal_or_unknown,6
4800.0,8830e1ca05fffff,3
4800.0,8830e1ca07fffff,2
4800.0,8830e1ca21fffff,5
4800.0,8830e1ca23fffff,1
4800.0,8830e1ca29fffff,15
4800.0,8830e1ca2bfffff,9
4800.0,8830e1ca2dfffff,1
4800.0,8830e1ca63fffff,6
4800.0,internal_or_unknown,7
5100.0,8830e1ca05fffff,8
5100.0,8830e1ca07fffff,3
5100.0,8830e1ca21fffff,2
5100.0,8830e1ca23fffff,0
5100.0,8830e1ca29fffff,10
5100.0,8830e1ca2bfffff,11
5100.0,8830e1ca2dfffff,7
5100.0,8830e1ca63fffff,2
5100.0,internal_or_unknown,5
5400.0,8830e1ca05fffff,9
5400.0,8830e1ca07fffff,2
5400.0,8830e1ca21fffff,5
5400.0,8830e1ca23fffff,1
5400.0,8830e1ca29fffff,9
5400.0,8830e1ca2bfffff,9
5400.0,8830e1ca2dfffff,5
5400.0,8830e1ca63fffff,1
5400.0,internal_or_unknown,5
5700.0,8830e1ca05fffff,12
5700.0,8830e1ca07fffff,3
5700.0,8830e1ca21fffff,5
5700.0,8830e1ca23fffff,1
5700.0,8830e1ca29fffff,12
5700.0,8830e1ca2bfffff,8
5700.0,8830e1ca2dfffff,0
5700.0,8830e1ca63fffff,2
5700.0,internal_or_unknown,6
6000.0,8830e1ca05fffff,9
6000.0,8830e1ca07fffff,4
6000.0,8830e1ca21fffff,1
6000.0,8830e1ca23fffff,1
6000.0,8830e1ca29fffff,16
6000.0,8830e1ca2bfffff,7
6000.0,8830e1ca2dfffff,5
6000.0,8830e1ca63fffff,0
6000.0,internal_or_unknown,7
6300.0,8830e1ca05fffff,13
6300.0,8830e1ca07fffff,5
6300.0,8830e1ca21fffff,4
6300.0,8830e1ca23fffff,0
6300.0,8830e1ca29fffff,10
6300.0,8830e1ca2bfffff,8
6300.0,8830e1ca2dfffff,0
6300.0,8830e1ca63fffff,6
6300.0,internal_or_unknown,3
6600.0,8830e1ca05fffff,10
6600.0,8830e1ca07fffff,1
6600.0,8830e1ca21fffff,3
6600.0,8830e1ca23fffff,1
6600.0,8830e1ca29fffff,11
6600.0,8830e1ca2bfffff,8
6600.0,8830e1ca2dfffff,3
6600.0,8830e1ca63fffff,5
6600.0,internal_or_unknown,6
6900.0,8830e1ca05fffff,12
6900.0,8830e1ca07fffff,4
6900.0,8830e1ca21fffff,8
6900.0,8830e1ca23fffff,2
6900.0,8830e1ca29fffff,6
6900.0,8830e1ca2bfffff,7
6900.0,8830e1ca2dfffff,1
6900.0,8830e1ca63fffff,2
6900.0,internal_or_unknown,6
7200.0,8830e1ca05fffff,12
7200.0,8830e1ca07fffff,3
7200.0,8830e1ca21fffff,3
7200.0,8830e1ca23fffff,1
7200.0,8830e1ca29fffff,10
7200.0,8830e1ca2bfffff,8
7200.0,8830e1ca2dfffff,4
7200.0,8830e1ca63fffff,4
7200.0,internal_or_unknown,3
