o_cell_id,o_cell_x,o_cell_y,d_cell_id,d_cell_x,d_cell_y,o_admi_cd,d_admi_cd,st_time_cd,fns_time_cd,in_forn_div_nm,move_trans,move_dist,move_time,male_00_cnt,male_10_cnt,male_15_cnt,male_20_cnt,male_25_cnt,male_30_cnt,male_35_cnt,male_40_cnt,male_45_cnt,male_50_cnt,male_55_cnt,male_60_cnt,male_65_cnt,male_70_cnt,male_75_cnt,male_80_cnt,male_85_cnt,feml_00_cnt,feml_10_cnt,feml_15_cnt,feml_20_cnt,feml_25_cnt,feml_30_cnt,feml_35_cnt,feml_40_cnt,feml_45_cnt,feml_50_cnt,feml_55_cnt,feml_60_cnt,feml_65_cnt,feml_70_cnt,feml_75_cnt,feml_80_cnt,feml_85_cnt,total_cnt,etl_ymd,o_lat,o_lon,d_lat,d_lon
다사60754400,960875,1944125,다사61254975,961375,1949875,11680600,11200690,22,22,내국인,6,5608,33,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,20250602,37.4955534628305,127.05738719685591,37.547401401825624,127.0627410890206
다사61004400,961125,1944125,다사61254450,961375,1944625,11680600,11680610,12,13,내국인,7,514,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,3.14,20250602,37.49556402498368,127.06021531716608,37.50008122304229,127.06301717838035
다사61254525,961375,1945375,다사47504275,947625,1942875,11680610,11620725,1720,1800,내국인,6,13827,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,20250602,37.50684127195886,127.06297777656187,37.48363029245114,126.90758815807132
다사61504550,961625,1945625,다사58005300,958125,1953125,11680610,11230536,1700,1740,내국인,6,8318,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,20250602,37.50910505168208,127.06579327291543,37.576552532684964,127.02576454302692
다사61754525,961875,1945375,다사64254475,964375,1944875,11680610,11710600,1700,1700,내국인,5,2638,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,20250602,37.50686206617408,127.06863487441304,37.50245525559694,127.09694467797844
다사61754425,961875,1944375,다사58004425,958125,1944375,11680610,11650520,11,12,내국인,5,3905,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,4.04,20250602,37.49784865915779,127.068686727279,37.49768615171334,127.02626373908714
다사61254275,961375,1942875,다사57754475,957875,1944875,11680670,11650531,900,940,내국인,5,4031,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,20250602,37.48430774527392,127.06310906478508,37.50218145333789,127.02340690912962
다사61254375,961375,1943875,다사62004275,962125,1942875,11680600,11680670,10,10,내국인,8,1290,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,3.55,20250602,37.49332116633501,127.0630565670383,37.484338809855274,127.0715921647043
다사61254525,961375,1945375,다사61254525,961375,1945375,11680610,11680610,10,10,내국인,7,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,20250602,37.50684127195886,127.06297777656187,37.50684127195886,127.06297777656187
다사61004625,961125,1946375,다사61504575,961625,1945875,11680580,11680580,20,20,내국인,7,640,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,5.51,20250602,37.51584415629642,127.06009633345388,37.511358399567975,127.06578021961656
다사61504550,961625,1945625,다사69503975,969625,1939875,11680610,41131600,1740,1840,내국인,6,9690,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,20250602,37.50910505168208,127.06579327291543,37.45757531132691,127.15654757705818
