time_sec,h3_index,idle_taxis
2400.0,8830e1ca63fffff,0
2400.0,internal_or_unknown,4
2700.0,8830e1ca05fffff,19
2700.0,8830e1ca07fffff,1
2700.0,8830e1ca21fffff,1
2700.0,8830e1ca23fffff,0
2700.0,8830e1ca29fffff,7
2700.0,8830e1ca2bfffff,16
2700.0,8830e1ca2dfffff,0
2700.0,8830e1ca63fffff,0
2700.0,internal_or_unknown,4
3000.0,8830e1ca05fffff,16
3000.0,8830e1ca07fffff,1
3000.0,8830e1ca21fffff,0
3000.0,8830e1ca23fffff,0
3000.0,8830e1ca29fffff,8
3000.0,8830e1ca2bfffff,14
3000.0,8830e1ca2dfffff,0
3000.0,8830e1ca63fffff,2
3000.0,internal_or_unknown,2
3300.0,8830e1ca05fffff,17
3300.0,8830e1ca07fffff,0
3300.0,8830e1ca21fffff,0
3300.0,8830e1ca23fffff,0
3300.0,8830e1ca29fffff,9
3300.0,8830e1ca2bfffff,14
3300.0,8830e1ca2dfffff,0
3300.0,8830e1ca63fffff,0
3300.0,internal_or_unknown,4
3600.0,8830e1ca05fffff,23
3600.0,8830e1ca07fffff,0
3600.0,8830e1ca21fffff,0
3600.0,8830e1ca23fffff,0
3600.0,8830e1ca29fffff,7
3600.0,8830e1ca2bfffff,14
3600.0,8830e1ca2dfffff,0
3600.0,8830e1ca63fffff,1
3600.0,internal_or_unknown,4
3900.0,8830e1ca05fffff,26
3900.0,8830e1ca07fffff,0
3900.0,8830e1ca21fffff,1
3900.0,8830e1ca23fffff,0
3900.0,8830e1ca29fffff,5
3900.0,8830e1ca2bfffff,12
3900.0,8830e1ca2dfffff,0
3900.0,8830e1ca63fffff,1
3900.0,internal_or_unknown,3
4200.0,8830e1ca05fffff,25
4200.0,8830e1ca07fffff,1
4200.0,8830e1ca21fffff,0
4200.0,8830e1ca23fffff,0
4200.0,8830e1ca29fffff,5
4200.0,8830e1ca2bfffff,11
4200.0,8830e1ca2dfffff,0
4200.0,8830e1ca63fffff,0
4200.0,internal_or_unknown,6
4500.0,8830e1ca05fffff,23
4500.0,8830e1ca07fffff,0
4500.0,8830e1ca21fffff,0
4500.0,8830e1ca23fffff,0
4500.0,8830e1ca29fffff,11
4500.0,8830e1ca2bfffff,8
4500.0,8830e1ca2dfffff,0
4500.0,8830e1ca63fffff,0
4500.0,internal_or_unknown,4
4800.0,8830e1ca05fffff,26
4800.0,8830e1ca07fffff,0
4800.0,8830e1ca21fffff,0
4800.0,8830e1ca23fffff,0
4800.0,8830e1ca29fffff,8
4800.0,8830e1ca2bfffff,11
4800.0,8830e1ca2dfffff,0
4800.0,8830e1ca63fffff,0
4800.0,internal_or_unknown,3
5100.0,8830e1ca05fffff,24
5100.0,8830e1ca07fffff,0
5100.0,8830e1ca21fffff,1
5100.0,8830e1ca23fffff,0
5100.0,8830e1ca29fffff,11
5100.0,8830e1ca2bfffff,9
5100.0,8830e1ca2dfffff,0
5100.0,8830e1ca63fffff,0
5100.0,internal_or_unknown,3
5400.0,8830e1ca05fffff,21
5400.0,8830e1ca07fffff,0
5400.0,8830e1ca21fffff,0
5400.0,8830e1ca23fffff,0
5400.0,8830e1ca29fffff,9
5400.0,8830e1ca2bfffff,7
5400.0,8830e1ca2dfffff,0
5400.0,8830e1ca63fffff,0
5400.0,internal_or_unknown,7
5700.0,8830e1ca05fffff,22
5700.0,8830e1ca07fffff,1
5700.0,8830e1ca21fffff,0
5700.0,8830e1ca23fffff,0
5700.0,8830e1ca29fffff,11
5700.0,8830e1ca2bfffff,13
5700.0,8830e1ca2dfffff,0
5700.0,8830e1ca63fffff,0
5700.0,internal_or_unknown,2
6000.0,8830e1ca05fffff,19
6000.0,8830e1ca07fffff,0
6000.0,8830e1ca21fffff,0
6000.0,8830e1ca23fffff,0
6000.0,8830e1ca29fffff,11
6000.0,8830e1ca2bfffff,9
6000.0,8830e1ca2dfffff,0
6000.0,8830e1ca63fffff,1
6000.0,internal_or_unknown,10
6300.0,8830e1ca05fffff,12
6300.0,8830e1ca07fffff,0
6300.0,8830e1ca21fffff,0
6300.0,8830e1ca23fffff,0
6300.0,8830e1ca29fffff,14
6300.0,8830e1ca2bfffff,15
6300.0,8830e1ca2dfffff,0
6300.0,8830e1ca63fffff,0
6300.0,internal_or_unknown,8
6600.0,8830e1ca05fffff,11
6600.0,8830e1ca07fffff,1
6600.0,8830e1ca21fffff,0
6600.0,8830e1ca23fffff,0
6600.0,8830e1ca29fffff,12
6600.0,8830e1ca2bfffff,14
6600.0,8830e1ca2dfffff,0
6600.0,8830e1ca63fffff,2
6600.0,internal_or_unknown,8
6900.0,8830e1ca05fffff,12
6900.0,8830e1ca07fffff,1
6900.0,8830e1ca21fffff,0
6900.0,8830e1ca23fffff,0
6900.0,8830e1ca29fffff,9
6900.0,8830e1ca2bfffff,20
6900.0,8830e1ca2dfffff,0
6900.0,8830e1ca63fffff,0
6900.0,internal_or_unknown,5
7200.0,8830e1ca05fffff,12
7200.0,8830e1ca07fffff,0
7200.0,8830e1ca21fffff,2
7200.0,8830e1ca23fffff,1
7200.0,8830e1ca29fffff,9
7200.0,8830e1ca2bfffff,20
7200.0,8830e1ca2dfffff,0
7200.0,8830e1ca63fffff,1
7200.0,internal_or_unknown,3
